session_index,loss_rate,compression_ratio,tokens_before,tokens_after,loss_events
0,0.4000,0.8200,24000,4320,12
1,0.2667,0.7860,24000,5136,8
2,0.1667,0.7350,24000,6360,5
3,0.0667,0.7010,24000,7176,2
4,0.0333,0.7010,24000,7176,1
5,0.1000,0.7180,24000,6768,3
6,0.1667,0.6783,24000,7720,5
7,0.2000,0.6783,24000,7720,6
8,0.1333,0.7123,24000,6904,4
9,0.1333,0.7067,24000,7040,4
10,0.1000,0.6783,24000,7720,3
11,0.0667,0.7293,24000,6496,2
12,0.2000,0.7010,24000,7176,6
13,0.0667,0.6613,24000,8128,2
14,0.3333,0.6557,24000,8264,10
15,0.0667,0.6500,24000,8400,2
16,0.1667,0.6557,24000,8264,5
17,0.2333,0.6670,24000,7992,7
18,0.2333,0.6670,24000,7992,7
19,0.0667,0.6727,24000,7856,2
20,0.1667,0.6500,24000,8400,5
21,0.1333,0.6500,24000,8400,4
22,0.2333,0.6500,24000,8400,7
23,0.0667,0.6500,24000,8400,2
24,0.0333,0.6500,24000,8400,1
25,0.0667,0.6500,24000,8400,2
26,0.1000,0.6500,24000,8400,3
27,0.0667,0.6500,24000,8400,2
28,0.1333,0.6500,24000,8400,4
29,0.1000,0.6500,24000,8400,3
30,0.1000,0.6500,24000,8400,3
31,0.0333,0.6500,24000,8400,1
32,0.0667,0.6500,24000,8400,2
33,0.0667,0.6500,24000,8400,2
34,0.1333,0.6500,24000,8400,4
35,0.2000,0.6500,24000,8400,6
36,0.1000,0.6500,24000,8400,3
37,0.1667,0.6500,24000,8400,5
38,0.1000,0.6500,24000,8400,3
39,0.0667,0.6500,24000,8400,2
